State,Sheltered Homeless Population,Individuals Sheltered,Families Sheltered,Unaccompanied Youth Sheltered
Alabama,1626.00,1165.00,461.00,55.00
Alaska,1797.00,1295.00,502.00,195.00
Arizona,5460.00,3304.00,2165.00,249.00
Arkansas,1470.00,1204.00,266.00,129.00
California,51429.00,32910.00,18519.00,2526.00
Colorado,8016.00,5569.00,2447.00,293.00
Connecticut,2165.00,1504.00,661.00,96.00
Delaware,1579.00,736.00,843.00,41.00
District of Columbia,4430.00,3195.00,1235.00,311.00
Florida,13393.00,8412.00,4981.00,686.00
Georgia,5232.00,3111.00,2121.00,202.00
Hawaii,2490.00,1142.00,1348.00,56.00
Idaho,1017.00,591.00,426.00,92.00
Illinois,6933.00,4065.00,2868.00,492.00
Indiana,4050.00,2765.00,1285.00,180.00
Iowa,2006.00,1321.00,685.00,100.00
Kansas,1600.00,1113.00,487.00,99.00
Kentucky,2287.00,1704.00,583.00,159.00
Louisiana,1613.00,1150.00,463.00,127.00
Maine,2063.00,1278.00,785.00,107.00
Maryland,4048.00,2764.00,1284.00,252.00
Massachusetts,13944.00,4278.00,9666.00,351.00
Michigan,6546.00,3768.00,2778.00,370.00
Minnesota,6461.00,3716.00,2745.00,505.00
Mississippi,359.00,271.00,88.00,16.00
Missouri,4079.00,2359.00,1720.00,338.00
Montana,1168.00,744.00,424.00,42.00
Nebraska,1776.00,1280.00,496.00,125.00
Nevada,3293.00,2748.00,545.00,224.00
New Hampshire,1171.00,649.00,552.00,42.00
New Jersey,7443.00,4821.00,2622.00,340.00
New Mexico,1972.00,1217.00,755.00,143.00
New York,76051.00,37793.00,38258.00,2421.00
North Carolina,5612.00,3609.00,2003.00,207.00
North Dakota,474.00,290.00,184.00,45.00
Ohio,7762.00,5020.00,2742.00,506.00
Oklahoma,2331.00,1674.00,657.00,223.00
Oregon,5178.00,4167.00,1011.00,301.00
Pennsylvania,9364.00,5450.00,3914.00,446.00
Rhode Island,1086.00,614.00,472.00,35.00
South Carolina,2042.00,1552.00,490.00,112.00
South Dakota,817.00,517.00,300.00,66.00
Tennessee,3443.00,2678.00,765.00,130.00
Texas,11275.00,7518.00,3757.00,799.00
Utah,2410.00,1664.00,746.00,132.00
Vermont,2591.00,1962.00,629.00,204.00
Virginia,5335.00,3430.00,1905.00,194.00
Washington,11511.00,7013.00,4498.00,726.00
West Virginia,823.00,682.00,141.00,65.00
Wisconsin,3996.00,2275.00,1721.00,153.00
Wyoming,405.00,247.00,158.00,42.00
