State_ID,State,Average Temp (F)
0,Alabama,63.75500000000001
1,Alaska,30.35214285714286
2,Arizona,59.97594936708861
3,Arkansas,61.04683544303797
4,California,59.25753424657534
5,Colorado,44.388582677165346
6,Connecticut,51.73333333333333
7,Delaware,57.17999999999999
9,Florida,73.95681818181819
10,Georgia,63.33548387096773
11,Hawaii,71.33846153846154
12,Idaho,44.14178082191783
13,Illinois,52.97777777777775
14,Indiana,53.69655172413794
15,Iowa,50.073267326732676
16,Kansas,56.13109243697478
17,Kentucky,57.12075471698111
18,Louisiana,67.90277777777779
19,Maine,45.552
20,Maryland,56.16190476190476
21,Massachusetts,51.07659574468085
22,Michigan,47.398437500000014
23,Minnesota,44.88548387096776
24,Mississippi,64.83478260869565
25,Missouri,56.040217391304324
26,Montana,42.82871287128714
27,Nebraska,51.362857142857166
28,Nevada,49.50990099009901
29,New Hampshire,46.302564102564105
30,New Jersey,54.95862068965516
31,New Mexico,53.486666666666686
32,New York,49.31592920353983
33,North Carolina,59.44779411764706
34,North Dakota,44.0
35,Ohio,53.119512195121956
36,Oklahoma,60.738834951456326
37,Oregon,49.12619047619047
38,Pennsylvania,52.01888888888889
39,Rhode Island,51.9
40,South Carolina,62.50625
41,South Dakota,47.78942307692311
42,Tennessee,58.420879120879164
43,Texas,66.12145748987858
44,Utah,46.32352941176469
45,Vermont,45.63199999999999
46,Virginia,57.14090909090908
47,Washington,47.705405405405415
48,West Virginia,53.331111111111106
49,Wisconsin,46.64266666666667
50,Wyoming,41.440000000000005
